ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
19,7,索尼 智能空气净化器 Advanced,XF086,维涛信息有限公司智能科技,2.8,用了一段时间，这款索尼 智能空气净化器 Advanced不推荐购买。在做饭时时完全不能正常工作。已经申请退款了。,2025-07-29,智能空气净化器
25,8,松下 智能手环 Advanced,EG347,商软冠联信息有限公司移动应用开发,3.3,在工作时使用还不错，但在其他情况下表现一般。,2025-07-08,智能手环
11,4,博世 智能手环 Ultra,HC222,鸿睿思博科技有限公司网络安全,1.6,不得不说，这款智能手环完全不符合预期。使用不到一周就出现了问题。已经申请退款了。,2025-06-29,智能手环
3,6,西门子 智能冰箱 Elite,GX010,海创信息有限公司虚拟现实,3.6,总体来说还行，质量很好，就是操作复杂。,2025-06-23,智能冰箱
20,2,谷歌 智能空调 Basic,ZJ780,网新恒天传媒有限公司生物科技,2.1,不推荐这款智能空调，耗电量大，很失望。,2025-05-17,智能空调
27,10,松下 智能洗衣机 Elite,QL111,华成育卓科技有限公司电子商务,2.7,对比了市面上几款同类产品后，这款松下 智能洗衣机 Elite存在明显缺陷。在晚上睡前时完全不能正常工作。以后不会再考虑这个品牌的产品。,2025-05-12,智能洗衣机
14,8,松下 智能手环 Advanced,FU528,银嘉科技有限公司区块链技术,3.8,智能手环的质量还可以，节能环保，不过使用说明不清。,2025-04-29,智能手环
26,4,博世 智能手环 Ultra,HC222,鸿睿思博科技有限公司网络安全,3.8,购买后，这款博世 智能手环 Ultra中规中矩。优点是稳定性好。让我惊喜的是使用久了会发现一些小问题。便宜没好货，这句话在这里很适用。,2025-04-07,智能手环
2,4,博世 智能手环 Ultra,EG900,时空盒数字信息有限公司云计算,4.4,这款智能手环的语音识别功能很实用，稳定性好。,2025-02-04,智能手环
28,4,博世 智能手环 Ultra,OO472,快讯传媒有限公司云计算,3.0,作为第一次购买这类产品的新手，这款博世 智能手环 Ultra中规中矩。优点是稳定性好。而且使用久了会发现一些小问题。对得起这个价格。,2024-12-13,智能手环
29,4,博世 智能手环 Ultra,TO179,四通信息有限公司数字科技,4.3,在工作时时使用效果很好，特别是省电模式功能。,2024-11-22,智能手环
5,4,博世 智能手环 Ultra,EI607,七喜网络有限公司信息技术,4.1,必须承认，这款博世 智能手环 Ultra值得推荐。如果非要说缺点的话，价格稍微贵了一点。值得购买。,2024-11-09,智能手环
18,2,谷歌 智能空调 Basic,VN368,诺依曼软件网络有限公司信息技术,3.9,我发现，这款智能空调总体来说还可以。高清画质设计得比较合理。最重要的是缺点是使用说明不清。期待下一代产品能有所改进。,2024-10-29,智能空调
24,10,松下 智能洗衣机 Elite,QL111,华成育卓科技有限公司电子商务,2.9,经过一段时间使用，这款智能洗衣机不推荐购买。使用不到一周就出现了损坏。已经申请退款了。,2024-10-21,智能洗衣机
8,8,松下 智能手环 Advanced,IU641,南康传媒有限公司金融科技,4.0,购买后，这款智能手环做工精细。并且在晚上睡前时表现尤为出色。和同价位其他产品相比更胜一筹。如果非要说缺点的话，说明书不够详细。对得起这个价格。,2024-10-08,智能手环
4,1,亚马逊 智能空气净化器 Pro,TO179,四通信息有限公司数字科技,1.2,使用一周后出现故障，价格偏高，售后服务也不好。,2024-09-30,智能空气净化器
1,5,小米 智能冰箱 Elite,QL111,华成育卓科技有限公司电子商务,4.7,这款智能冰箱的语音识别功能很实用，稳定性好。,2024-09-09,智能冰箱
9,10,松下 智能洗衣机 Elite,OO472,快讯传媒有限公司云计算,1.9,对这款智能洗衣机非常不满意，操作复杂，浪费钱。,2024-08-22,智能洗衣机
21,5,小米 智能冰箱 Elite,UI658,艾提科信传媒有限公司电子商务,4.2,这是我用过的最好的智能冰箱之一，反应灵敏，性价比很高。,2024-08-04,智能冰箱
12,2,谷歌 智能空调 Basic,IX975,晖来计算机信息有限公司物联网,4.5,非常满意这次购买，节能环保，送货也很快。,2024-06-16,智能空调
6,10,松下 智能洗衣机 Elite,AO841,华泰通安传媒有限公司网络安全,2.3,使用一周后出现故障，耗电量大，售后服务也不好。,2024-05-30,智能洗衣机
16,8,松下 智能手环 Advanced,AO841,华泰通安传媒有限公司网络安全,5.0,在做饭时时使用效果很好，特别是智能联动功能。,2024-05-12,智能手环
13,8,松下 智能手环 Advanced,FU528,银嘉科技有限公司区块链技术,2.1,使用一周后出现故障，使用说明不清，售后服务也不好。,2024-03-01,智能手环
15,6,西门子 智能冰箱 Elite,QL111,华成育卓科技有限公司电子商务,1.6,使用一周后出现故障，耗电量大，售后服务也不好。,2024-01-25,智能冰箱
22,7,索尼 智能空气净化器 Advanced,LG805,时刻传媒有限公司金融科技,3.0,总体来说还行，节能环保，就是做工一般。,2024-01-08,智能空气净化器
17,8,松下 智能手环 Advanced,VN368,诺依曼软件网络有限公司信息技术,3.5,这款智能手环一般，外观漂亮，但是散热问题有点问题。,2023-12-22,智能手环
10,2,谷歌 智能空调 Basic,EG347,商软冠联信息有限公司移动应用开发,1.5,体验下来，这款智能空调不推荐购买。在做饭时时完全不能正常工作。唯一值得称赞的可能就是外观设计还不错。,2023-12-05,智能空调
23,8,松下 智能手环 Advanced,TO179,四通信息有限公司数字科技,4.1,在晚上睡前时使用效果很好，特别是智能联动功能。,2023-10-24,智能手环
7,3,谷歌 智能门锁 Standard,EI607,七喜网络有限公司信息技术,2.1,不推荐这款智能门锁，续航时间短，很失望。,2023-09-09,智能门锁
30,1,亚马逊 智能空气净化器 Pro,QL111,华成育卓科技有限公司电子商务,1.7,这款产品有严重问题，使用说明不清，已经申请退款。,2023-08-19,智能空气净化器
